hangul,hanja
가,可
가,家
가,加
가,歌
가,價
가,呵
가,哥
가,假
가,架
가,佳
가,咖
가,街
가,駕
가,傢
가,嘉
가,嫁
가,暇
가,斝
가,嘏
가,榎
가,葭
가,茄
가,珂
가,珈
가,苛
가,伽
가,笳
가,哿
가,袈
가,稼
가,賈
가,迦
가,痂
가,軻
가,仮
가,訶
가,謌
가,枷
가,跏
가,宊
가,柯
가,耞
가,舸
가,檟
가,坷
각,各
각,覺
각,卻
각,角
각,刻
각,殼
각,閣
각,咯
각,愨
각,桷
각,却
각,埆
각,慤
각,珏
각,擱
각,脚
각,搉
각,恪
간,看
간,間
간,幹
간,簡
간,刊
간,干
간,墾
간,竿
간,榦
간,艱
간,奸
간,懇
간,茛
간,慳
간,艮
간,赶
간,衎
간,秆
간,栞
간,桿
간,柬
간,齦
간,迀
간,姦
간,忓
간,揀
간,癎
간,偘
간,稈
간,澗
간,癇
간,磵
간,諫
간,矸
간,侃
간,肝
간,杆
간,玕
갈,喝
갈,葛
갈,蠍
갈,渴
갈,鶡
갈,褐
갈,鞨
갈,秸
갈,曷
갈,竭
갈,蝎
갈,羯
갈,乫
갈,噶
갈,楬
갈,碣
감,感
감,敢
감,減
감,監
감,甘
감,堪
감,憾
감,鑑
감,泔
감,龕
감,鹻
감,欿
감,疳
감,勘
감,轗
감,柑
감,坎
감,歛
감,戡
감,橄
감,撼
감,淦
감,鑒
감,澉
감,埳
감,瞰
감,弇
감,嵌
감,憨
감,嵁
감,紺
감,玪
감,酣
감,矙
감,邯
감,坩
갑,甲
갑,鉀
갑,韐
갑,岬
갑,匣
갑,閘
갑,胛
강,強
강,講
강,剛
강,康
강,江
강,鋼
강,綱
강,降
강,岡
강,慷
강,顜
강,悾
강,殭
강,跭
강,韁
강,疆
강,畺
강,彊
강,鱇
강,强
강,傋
강,玒
강,崗
강,鎠
강,鏹
강,橿
강,忼
강,僵
강,壃
강,羌
강,茳
강,嫝
강,羗
강,杠
강,舡
강,羫
강,襁
강,扛
강,腔
강,繈
강,穅
강,堈
강,姜
강,絳
강,糠
강,薑
강,罡
강,豇
강,矼
개,個
개,開
개,改
개,介
개,皆
개,凱
개,蓋
개,豈
개,盖
개,揩
개,匃
개,慨
개,箇
개,磕
개,玠
개,愾
개,鎧
개,愷
개,剴
개,槩
개,槪
개,闓
개,漑
개,价
개,塏
개,疥
개,芥
개,豈
객,客
객,喀
갱,更
갱,坑
갱,更
갱,粳
갱,賡
갱,羹
갱,硜
갱,鏗
갹,醵
거,去
거,車
거,居
거,據
거,巨
거,拒
거,距
거,渠
거,踞
거,昛
거,炬
거,苣
거,蕖
거,籧
거,鋸
거,蘧
거,駏
거,鉅
거,据
거,筥
거,倨
거,袪
거,遽
거,裾
거,擧
거,胠
거,秬
거,呿
거,莒
거,腒
거,祛
거,車
건,件
건,建
건,鍵
건,健
건,乾
건,巾
건,睷
건,騫
건,漧
건,褰
건,愆
건,腱
건,謇
건,蹇
건,踺
건,湕
건,搴
건,楗
건,鞬
건,虔
건,揵
건,䢖
건,犍
걸,傑
걸,乞
걸,乬
걸,桀
걸,榤
걸,朅
걸,杰
검,劍
검,檢
검,撿
검,儉
검,黔
검,鈐
검,瞼
검,芡
검,劒
겁,劫
겁,怯
겁,迲
겁,刧
겁,刦
게,揭
게,憩
게,偈
격,格
격,擊
격,激
격,隔
격,鬲
격,挌
격,膈
격,鴃
격,檄
격,骼
격,毄
격,覡
격,闃
견,見
견,堅
견,肩
견,牽
견,遣
견,甄
견,鰹
견,蠲
견,筧
견,狷
견,犬
견,鵑
견,絹
견,縳
견,畎
견,繭
견,繾
견,譴
견,樫
견,羂
결,結
결,決
결,缺
결,潔
결,玦
결,迼
결,焆
결,鍥
결,觖
결,訣
결,闋
결,㓗
결,㛃
결,抉
겸,歉
겸,兼
겸,謙
겸,箝
겸,慊
겸,嗛
겸,鎌
겸,槏
겸,鼸
겸,黚
겸,蒹
겸,岒
겸,拑
겸,傔
겸,縑
겸,鉗
경,更
경,經
경,境
경,輕
경,景
경,硬
경,竟
경,警
경,京
경,傾
경,鏡
경,慶
경,驚
경,敬
경,徑
경,勁
경,擎
경,競
경,耕
경,莖
경,逕
경,頸
경,暻
경,哽
경,俓
경,褧
경,竸
경,曔
경,儆
경,駉
경,庚
경,惸
경,磬
경,畊
경,鯁
경,鯨
경,冏
경,剄
경,冂
경,璄
경,璟
경,璥
경,瓊
경,鶊
경,燛
경,熲
경,謦
경,煢
경,焭
경,勍
경,巠
경,烱
경,痙
경,梗
경,炅
경,倞
경,卿
경,亰
경,黥
경,囧
경,絅
경,㯳
경,扃
경,𠗊
경,頃
경,綆
경,檠
경,坰
경,涇
경,耿
경,憬
경,憼
경,罄
경,脛
경,顈
계,界
계,計
계,系
계,係
계,繼
계,雞
계,季
계,溪
계,契
계,屆
계,戒
계,械
계,階
계,誡
계,桂
계,悸
계,稽
계,縘
계,筓
계,繫
계,谿
계,癸
계,烓
계,瘈
계,髻
계,罽
계,鷄
계,堺
계,堦
계,𥡴
계,棨
계,葪
계,啓
계,禊
계,薊
계,磎
계,綮
고,告
고,故
고,考
고,高
고,古
고,苦
고,顧
고,靠
고,估
고,糕
고,固
고,鼓
고,姑
고,孤
고,庫
고,稿
고,股
고,枯
고,敲
고,雇
고,箍
고,膏
고,袴
고,鼔
고,藁
고,蠱
고,盬
고,鴣
고,拷
고,尻
고,篙
고,睾
고,暠
고,鈷
고,刳
고,叩
고,凅
고,郜
고,胯
고,攷
고,酤
고,呱
고,觚
고,苽
고,杲
고,菰
고,痼
고,罟
고,誥
고,賈
고,鷱
고,皋
고,栲
고,賈
고,羔
고,辜
고,稁
고,皐
고,羖
고,塙
고,瞽
고,翺
고,詁
고,牯
고,櫜
고,槹
고,沽
고,槀
고,槁
고,錮
곡,曲
곡,哭
곡,谷
곡,穀
곡,槲
곡,觳
곡,縠
곡,鵠
곡,梏
곡,轂
곡,嚳
곡,斛
곤,困
곤,滾
곤,坤
곤,棍
곤,鶤
곤,堃
곤,捆
곤,鯤
곤,悃
곤,髡
곤,梱
곤,齫
곤,衮
곤,昆
곤,袞
곤,裍
곤,鵾
곤,褌
곤,錕
곤,琨
곤,緄
곤,崑
곤,崐
곤,閫
골,骨
골,滑
골,滑
골,搰
골,汨
골,榾
골,鶻
골,矻
공,工
공,共
공,公
공,空
공,功
공,供
공,恐
공,控
공,攻
공,孔
공,恭
공,貢
공,槓
공,跫
공,贛
공,悾
공,栱
공,鞏
공,龔
공,蛬
공,蛩
공,箜
공,蚣
공,倥
공,珙
공,拱
공,釭
공,崆
곶,串
과,果
과,過
과,課
과,科
과,瓜
과,顆
과,鍋
과,誇
과,夥
과,菓
과,裹
과,撾
과,猓
과,跨
과,窠
과,寡
과,銙
과,騍
과,踝
과,稞
과,夸
과,侉
과,蝌
과,戈
과,堝
곽,郭
곽,癨
곽,鞹
곽,槨
곽,霍
곽,椁
곽,躩
곽,廓
곽,藿
관,管
관,觀
관,關
관,官
관,灌
관,館
관,寬
관,慣
관,串
관,冠
관,款
관,貫
관,罐
관,綰
관,筦
관,鑵
관,盥
관,串
관,舘
관,寛
관,祼
관,輨
관,丱
관,棺
관,琯
관,鸛
관,梡
관,爟
관,瓘
관,涫
관,髖
관,顴
관,菅
관,雚
관,錧
관,窾
괄,括
괄,刮
괄,鴰
괄,适
괄,筈
괄,聒
괄,栝
괄,恝
괄,髺
괄,佸
광,光
광,廣
광,狂
광,框
광,洸
광,炚
광,鑛
광,茪
광,誆
광,恇
광,桄
광,壙
광,匡
광,誑
광,炛
광,磺
광,獷
광,胱
광,広
광,侊
광,纊
광,曠
광,絖
광,筐
광,珖
광,爌
괘,掛
괘,卦
괘,挂
괘,罫
괘,罣
괘,咼
괘,詿
괴,怪
괴,塊
괴,壞
괴,乖
괴,瑰
괴,愧
괴,魁
괴,媿
괴,拐
괴,傀
괴,璝
괴,襘
괴,蒯
괴,廥
괴,恠
괴,槐
괵,馘
굉,轟
굉,宏
굉,訇
굉,閎
굉,肱
굉,觥
굉,浤
굉,紘
교,交
교,校
교,教
교,較
교,巧
교,僑
교,咬
교,橋
교,喬
교,翹
교,攪
교,郊
교,狡
교,膠
교,驕
교,敎
교,嚙
교,窖
교,憍
교,矯
교,暞
교,蹻
교,嶠
교,鄗
교,蕎
교,榷
교,齩
교,晈
교,撟
교,嬌
교,嘐
교,蛟
교,鉸
교,鵁
교,餃
교,噭
교,趫
교,磽
교,絞
교,轎
교,佼
교,嘄
교,骹
교,鮫
교,皎
교,姣
구,口
구,球
구,久
구,區
구,求
구,究
구,九
구,句
구,狗
구,具
구,救
구,舊
구,構
구,仇
구,扣
구,購
구,懼
구,俱
구,歐
구,溝
구,驅
구,邱
구,龜
구,舅
구,嘔
구,軀
구,矩
구,拘
구,鸜
구,窛
구,劬
구,丘
구,鬮
구,鷇
구,垢
구,毆
구,鷗
구,臼
구,衢
구,漚
구,疚
구,痀
구,寇
구,韮
구,駒
구,勾
구,韭
구,裘
구,銶
구,咎
구,謳
구,癯
구,絿
구,韝
구,匶
구,岣
구,蒟
구,糗
구,駈
구,蚯
구,屨
구,鉤
구,篝
구,嶇
구,昫
구,鳩
구,坸
구,坵
구,佉
구,遘
구,毬
구,颶
구,璆
구,捄
구,耉
구,姤
구,耈
구,逑
구,傴
구,廐
구,廏
구,耇
구,甌
구,窶
구,叴
구,嫗
구,搆
구,柩
구,胊
구,媾
구,厹
구,覯
구,釦
구,彀
구,戵
구,詬
구,苟
구,玖
구,榘
구,玽
구,俅
구,摳
구,佝
구,冓
구,瞿
구,枸
구,灸
국,國
국,国
국,局
국,菊
국,鞠
국,麴
국,𥮗
국,麯
국,鞫
국,掬
국,匊
국,跼
군,軍
군,君
군,群
군,捃
군,桾
군,窘
군,皸
군,裙
군,郡
굴,掘
굴,淈
굴,屈
굴,詘
굴,崛
굴,倔
굴,堀
굴,窟
궁,窮
궁,宮
궁,穹
궁,躬
궁,弓
궁,芎
궁,躳
권,權
권,勸
권,卷
권,圈
권,捲
권,拳
권,倦
권,券
권,淃
권,棬
권,蜷
권,惓
권,睠
권,権
권,綣
권,眷
권,勌
궐,闕
궐,厥
궐,獗
궐,蕨
궐,蹶
궤,軌
궤,櫃
궤,跪
궤,匱
궤,机
궤,麂
궤,佹
궤,几
궤,樻
궤,簋
궤,撅
궤,劂
궤,饋
궤,闠
궤,潰
궤,詭
궤,餽
궤,氿
궤,繢
궤,憒
귀,句
귀,貴
귀,歸
귀,鬼
귀,龜
귀,䤥
귀,晷
귀,龜
귀,句
규,叫
규,規
규,糾
규,赳
규,樛
규,葵
규,嫢
규,閨
규,闚
규,馗
규,嬀
규,虬
규,茥
규,湀
규,槻
규,硅
규,潙
규,睽
규,跬
규,揆
규,圭
규,煃
규,巋
규,頍
규,逵
규,刲
규,邽
규,珪
규,楏
규,暌
규,奎
규,糺
규,窺
규,虯
규,竅
균,均
균,龜
균,菌
균,覠
균,畇
균,龜
균,筠
균,勻
균,匀
균,麏
균,囷
균,鈞
귤,橘
극,極
극,克
극,劇
극,隙
극,屐
극,尅
극,戟
극,棘
극,郄
극,亟
극,剋
근,跟
근,近
근,根
근,僅
근,勤
근,筋
근,斤
근,漌
근,厪
근,廑
근,菫
근,巹
근,嫤
근,芹
근,釿
근,卺
근,觔
근,懃
근,靳
근,覲
근,劤
근,謹
근,饉
근,瑾
근,槿
근,墐
글,契
글,契
글,㔕
금,今
금,金
금,琴
금,禁
금,錦
금,禽
금,芩
금,昑
금,妗
금,襟
금,嶔
금,黅
금,笒
금,衾
금,衿
금,金
금,檎
금,唫
금,噤
금,擒
급,給
급,級
급,及
급,急
급,圾
급,皀
급,礏
급,伋
급,笈
급,岌
급,芨
급,汲
급,扱
긍,肯
긍,兢
긍,殑
긍,亙
긍,亘
긍,矜
기,機
기,奇
기,期
기,氣
기,己
기,幾
기,起
기,記
기,基
기,其
기,器
기,騎
기,寄
기,紀
기,技
기,欺
기,弃
기,棄
기,汽
기,旗
기,棋
기,忌
기,琪
기,企
기,豈
기,冀
기,嗜
기,飢
기,祁
기,忯
기,歧
기,琦
기,碁
기,猉
기,耭
기,朞
기,屺
기,稘
기,岐
기,箕
기,榿
기,埼
기,肌
기,愭
기,玘
기,崎
기,墍
기,畿
기,炁
기,曁
기,磯
기,暣
기,庋
기,攲
기,羇
기,旂
기,羈
기,淇
기,忮
기,沂
기,杞
기,掎
기,禨
기,棊
기,畸
기,妓
기,旣
기,夔
기,綺
기,耆
기,祇
기,綦
기,璣
기,綥
기,璂
기,祈
기,祺
기,芪
기,覬
기,㠌
기,黖
기,圻
기,麒
기,剞
기,蟣
기,僛
기,跂
기,驥
기,芰
기,隑
기,伎
기,㼄
기,蜝
기,頎
기,鰭
기,饑
기,虁
기,錤
기,覉
기,肵
기,鬐
기,𧅄
기,蘄
기,譏
기,錡
기,騏
긴,緊
길,吉
길,佶
길,蛣
길,桔
길,拮
길,姞
김,金
끽,喫
나,那
나,拿
나,羅
나,懶
나,邏
나,喇
나,奈
나,蘿
나,𡖔
나,儺
나,糥
나,懶
나,裸
나,挐
나,奈
나,拏
나,喇
나,邏
나,梛
나,糯
나,䏧
나,癩
나,螺
나,䛔
나,挪
나,癩
나,𣃽
나,娜
나,懦
나,羅
나,裸
나,蘿
나,柰
나,螺
낙,樂
낙,落
낙,諾
낙,洛
낙,駱
낙,珞
낙,烙
낙,酪
낙,落
낙,駱
낙,烙
낙,洛
낙,樂
낙,酪
낙,珞
난,難
난,亂
난,爛
난,蘭
난,暖
난,欄
난,欄
난,餪
난,蘭
난,爛
난,鸞
난,鸞
난,卵
난,愞
난,卵
난,煖
난,偄
난,亂
난,赧
난,煗
날,捏
날,捺
남,男
남,南
남,藍
남,濫
남,嵐
남,喃
남,藍
남,襤
남,枏
남,濫
남,嵐
남,柟
남,襤
남,楠
남,湳
납,拉
납,納
납,衲
납,臘
납,蠟
납,臘
납,拉
납,蠟
낭,浪
낭,狼
낭,娘
낭,朗
낭,廊
낭,郞
낭,狼
낭,郞
낭,曩
낭,郎
낭,浪
낭,囊
낭,朗
낭,廊
내,來
내,內
내,奶
내,耐
내,乃
내,奈
내,嬭
내,柰
내,來
내,迺
내,匂
내,鼐
냉,冷
냉,冷
녀,女
녁,惄
년,年
년,撚
년,秊
년,碾
념,念
념,捻
념,恬
념,拈
녑,惗
녕,寧
녕,寗
녕,濘
녕,佞
녕,獰
녕,儜
녕,嚀
노,路
노,老
노,努
노,勞
노,露
노,怒
노,爐
노,魯
노,蘆
노,勞
노,鷺
노,虜
노,擄
노,櫓
노,瑙
노,老
노,盧
노,峱
노,猱
노,魯
노,虜
노,爐
노,露
노,擄
노,駑
노,呶
노,路
노,笯
노,鷺
노,孥
노,弩
노,櫓
노,盧
노,臑
노,奴
노,䛝
노,蘆
녹,錄
녹,綠
녹,鹿
녹,碌
녹,綠
녹,祿
녹,菉
녹,錄
녹,鹿
녹,祿
녹,菉
녹,碌
논,論
논,論
농,弄
농,農
농,濃
농,聾
농,籠
농,儂
농,膿
농,醲
농,穠
농,壟
농,弄
농,籠
농,噥
농,聾
농,壟
뇌,腦
뇌,雷
뇌,惱
뇌,牢
뇌,磊
뇌,賂
뇌,牢
뇌,磊
뇌,餒
뇌,雷
뇌,賂
뇨,鬧
뇨,淖
뇨,嬲
뇨,裊
뇨,嫋
뇨,撓
뇨,磠
뇨,鐃
뇨,尿
누,壘
누,樓
누,淚
누,漏
누,累
누,屢
누,樓
누,耨
누,陋
누,陋
누,縷
누,累
누,啂
누,漏
누,淚
누,屢
누,壘
누,縷
눈,嫩
눌,吶
눌,訥
눌,肭
뉴,鈕
뉴,紐
뉴,杻
뉴,忸
뉴,𧘥
뉴,靵
뉵,衄
늑,勒
늑,肋
늑,肋
늑,勒
늠,凜
늠,凜
능,能
능,凌
능,陵
능,菱
능,陵
능,菱
능,綾
능,凌
능,稜
능,稜
능,綾
니,呢
니,泥
니,尼
니,柅
니,膩
니,馜
니,禰
니,怩
니,濔
니,祢
니,㦐
닉,匿
닉,溺
닐,暱
닐,昵
다,多
다,茶
다,茤
다,𥥸
다,爹
다,觰
다,夛
다,𣘻
단,但
단,單
단,團
단,段
단,斷
단,担
단,短
단,蛋
단,端
단,丹
단,胆
단,旦
단,壇
단,耑
단,簞
단,慱
단,煓
단,湍
단,檀
단,鍛
단,椴
단,蜑
단,癉
단,鄲
단,緞
단,腶
단,㫜
단,漙
단,袒
단,彖
단,亶
달,達
달,妲
달,撻
달,澾
달,韃
달,怛
달,疸
달,靼
달,闥
달,獺
담,談
담,擔
담,淡
담,炎
담,膽
담,痰
담,噉
담,倓
담,墰
담,壜
담,毯
담,聃
담,罎
담,憺
담,黵
담,埮
담,禫
담,黮
담,郯
담,覃
담,坍
담,澹
담,潭
담,儋
담,曇
담,啖
담,啗
담,薝
담,錟
담,啿
담,蕁
담,湛
담,譚
답,答
답,踏
답,遝
답,畓
답,沓
당,當
당,檔
당,黨
당,堂
당,撞
당,唐
당,糖
당,塘
당,儻
당,鏜
당,党
당,倘
당,搪
당,璫
당,鐺
당,幢
당,瑭
당,溏
당,瞠
당,棠
당,戇
당,螳
당,襠
당,礑
당,蟷
당,讜
당,餹
당,餳
대,大
대,對
대,隊
대,帶
대,臺
대,代
대,待
대,袋
대,抬
대,戴
대,懟
대,鐓
대,儓
대,㬃
대,㬣
대,岱
대,碓
대,旲
대,坮
대,汏
대,擡
대,黛
대,貸
대,垈
대,玳
댁,宅
덕,德
덕,悳
덕,徳
도,到
도,道
도,都
도,掉
도,圖
도,度
도,倒
도,導
도,跳
도,刀
도,桃
도,逃
도,島
도,途
도,塗
도,渡
도,盜
도,徒
도,挑
도,濤
도,賭
도,屠
도,稻
도,萄
도,淘
도,掏
도,菟
도,弢
도,悼
도,祹
도,檮
도,蹈
도,覩
도,鞀
도,鞱
도,鋾
도,櫂
도,搗
도,韜
도,堵
도,禱
도,擣
도,稌
도,壔
도,滔
도,酴
도,鼗
도,馟
도,燾
도,鍍
도,陶
도,夲
도,涂
도,搯
도,叨
도,忉
도,饕
도,睹
도,棹
도,洮
도,嶋
도,慆
도,闍
독,讀
독,獨
독,毒
독,督
독,黷
독,纛
독,篤
독,犢
독,牘
독,櫝
독,禿
독,瀆
돈,敦
돈,頓
돈,墩
돈,躉
돈,豚
돈,弴
돈,惇
돈,沌
돈,潡
돈,旽
돈,暾
돈,燉
돈,焞
돌,突
돌,堗
돌,咄
돌,乭
동,同
동,東
동,動
동,冬
동,洞
동,童
동,疼
동,銅
동,凍
동,哃
동,朣
동,仝
동,蕫
동,桐
동,曈
동,蝀
동,胴
동,棟
동,鮗
동,憧
동,勭
동,潼
동,艟
동,僮
동,涷
동,峒
동,苳
동,茼
동,彤
동,侗
동,錬
동,橦
동,董
동,垌
동,瞳
동,烔
두,頭
두,讀
두,肚
두,豆
두,杜
두,斗
두,兜
두,抖
두,痘
두,逗
두,阧
두,讀
두,脰
두,蚪
두,荳
두,陡
두,蠹
두,斁
두,竇
두,枓
둔,鈍
둔,臀
둔,遁
둔,迍
둔,屯
둔,窀
둔,芚
둔,遯
둘,乧
득,得
등,等
등,燈
등,登
등,藤
등,橙
등,凳
등,騰
등,螣
등,鄧
등,謄
등,磴
등,墱
등,滕
등,籐
등,縢
등,嶝
등,鐙
라,羅
라,囉
라,懶
라,邏
라,喇
라,砢
라,蘿
라,臝
라,覶
라,剆
라,摞
라,螺
라,曪
라,瘰
라,蓏
라,倮
라,拏
라,儸
라,裸
라,癩
라,鑼
라,拏
라,騾
라,驘
락,樂
락,落
락,絡
락,洛
락,諾
락,駱
락,珞
락,樂
락,諾
락,嗠
락,犖
락,烙
락,酪
란,亂
란,爛
란,蘭
란,欄
란,丹
란,攔
란,嬾
란,丹
란,欒
란,幱
란,卵
란,瀾
란,闌
란,鸞
란,襴
란,瓓
란,鑾
란,灓
랄,埒
랄,辢
랄,辣
랄,剌
람,藍
람,籃
람,嵐
람,覽
람,濫
람,纜
람,婪
람,璼
람,擥
람,灆
람,欖
람,攬
람,漤
람,𢱯
람,惏
람,襤
람,㛦
람,爁
랍,拉
랍,臘
랍,鑞
랍,蠟
랑,浪
랑,狼
랑,朗
랑,郎
랑,廊
랑,稂
랑,瑯
랑,㢃
랑,硠
랑,閬
랑,榔
랑,烺
랑,莨
랑,駺
랑,蜋
랑,郞
랑,琅
랑,螂
래,來
래,来
래,萊
래,淶
래,崍
래,騋
래,徠
래,𧼛
랭,冷
략,略
략,畧
략,掠
량,兩
량,量
량,亮
량,良
량,涼
량,輛
량,諒
량,梁
량,糧
량,駺
량,倆
량,俍
량,樑
량,凉
량,喨
량,魎
량,悢
량,踉
량,粮
량,椋
량,粱
려,麗
려,慮
려,勵
려,厲
려,旅
려,呂
려,黎
려,濾
려,蠣
려,膂
려,癘
려,藜
려,櫚
려,蠡
려,儢
려,礪
려,閭
려,臚
려,唳
려,驪
려,曞
려,邌
려,驢
려,侶
려,儷
려,戾
려,糲
려,梠
려,廬
려,鑢
력,力
력,歷
력,靂
력,曆
력,攊
력,瀝
력,癧
력,轣
력,轢
력,櫪
력,酈
력,櫟
력,礫
련,連
련,聯
련,練
련,戀
련,蓮
련,憐
련,鍊
련,楝
련,臠
련,鰊
련,鰱
련,輦
련,漣
련,攣
련,𨏶
련,煉
련,璉
련,湅
련,孌
련,鏈
렬,列
렬,裂
렬,烈
렬,劣
렬,冽
렬,捩
렬,洌
렬,挒
렬,颲
렴,廉
렴,簾
렴,斂
렴,濂
렴,瀲
렴,磏
렴,殮
렴,奩
렵,獵
렵,躐
렵,鬣
령,另
령,領
령,令
령,靈
령,零
령,鈴
령,齡
령,寧
령,嶺
령,玲
령,伶
령,岭
령,苓
령,聆
령,逞
령,秢
령,怜
령,呤
령,岺
령,囹
령,昤
령,鹷
령,蛉
령,翎
령,鴒
령,姈
령,澪
령,羚
령,寧
령,笭
령,軨
령,欞
령,泠
례,禮
례,例
례,礼
례,醴
례,鱧
례,澧
례,隷
례,隸
로,老
로,路
로,怒
로,勞
로,露
로,爐
로,魯
로,鐪
로,怒
로,艪
로,轤
로,潞
로,潦
로,髗
로,撈
로,癆
로,鷺
로,瀘
로,鑪
로,澇
로,鸕
로,滷
로,櫓
로,虜
로,蕗
로,嚧
로,輅
로,擄
로,蘆
로,窂
로,瓐
로,艫
로,鹵
로,玈
로,櫨
로,盧
로,鱸
로,壚
로,璐
로,顱
록,錄
록,綠
록,鹿
록,碌
록,簏
록,鵦
록,騄
록,彔
록,圥
록,漉
록,淥
록,麓
록,祿
록,菉
록,轆
론,論
롱,弄
롱,聾
롱,籠
롱,瓏
롱,攏
롱,壟
롱,朧
롱,龎
롱,隴
